,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
, Interior 0,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
MS, Campo Grande,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 0,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 1,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
MT, Cuiabá,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 0,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
TO, Palmas,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 0,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 1,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 2,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
AL,  Maceió,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 0,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
BA, Salvador,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 0,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 1,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
CE, Fortaleza,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 0,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 1,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
MA, São Luís,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 0,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 1,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 2,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
PB, João Pessoa,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 0,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
PE, Recife,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 0,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 1,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 2,"31,78","34,97","38,14","41,32","44,49","46,09","47,68","49,25","50,85","52,43","54,03","55,61","57,21","58,79","60,39","61,97","63,56","65,15","66,75","68,33","68,80","69,27","69,76","70,23","70,70","71,18","71,66","72,14","72,61","73,10","87,84","90,67","93,51","96,35","99,17","102,01","104,84","107,68","110,51","113,35","116,17","119,01","121,84","124,68","127,51","130,35","133,17","136,01","138,84","141,68","144,51","147,35","150,17","153,01","155,84","158,68","161,51","164,35","167,17","170,01","172,84","175,68","178,51","181,35","184,19","187,01","189,85","192,68","195,52","198,35","2,6024"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
PI, Teresina,"35,65","39,21","42,75","46,33","49,89","51,68","53,46","55,25","57,03","58,81","60,59","62,37","64,16","65,93","67,70","69,48","71,27","73,05","74,83","76,61","77,16","77,68","78,22","78,76","79,29","79,82","80,36","80,91","81,43","81,96","96,85","99,98","103,11","106,23","109,36","112,48","115,60","118,73","121,85","124,97","128,09","131,23","134,35","137,47","140,60","143,72","146,84","149,97","153,09","156,21","159,34","162,47","165,59","168,72","171,84","174,96","178,09","181,21","184,33","187,46","190,59","193,71","196,84","199,96","203,08","206,21","209,33","212,45","215,58","218,70","2,8841"
