,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
SC, Florianópolis,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 0,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 1,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 2,"19,64","21,62","23,58","25,53","27,51","28,47","29,46","30,46","31,43","32,41","33,40","34,37","35,36","36,35","37,32","38,30","39,29","40,27","41,26","42,24","42,54","42,81","43,13","43,42","43,71","44,01","44,30","44,60","44,88","45,19","48,15","49,70","51,26","52,81","54,37","55,92","57,48","59,02","60,57","62,13","63,68","65,24","66,79","68,35","69,90","71,44","73,00","74,55","76,11","77,66","79,22","80,77","82,33","83,87","85,42","86,98","88,53","90,09","91,64","93,20","94,75","96,30","97,85","99,40","100,96","102,51","104,07","105,62","107,18","108,72","1,3617"
, Interior 3,"52,63","57,88","63,16","68,41","73,68","76,31","78,93","81,58","84,21","86,84","89,48","92,10","94,73","97,36","99,98","102,63","105,26","107,88","110,51","113,15","113,94","114,72","115,51","116,31","117,10","117,89","118,66","119,47","120,25","121,03","122,51","126,46","130,41","134,35","138,31","142,26","146,21","150,16","154,12","158,07","162,02","165,97","169,93","173,88","177,83","181,78","185,72","189,69","193,63","197,58","201,53","205,49","209,44","213,39","217,34","221,30","225,25","229,20","233,15","237,11","241,06","245,00","248,95","252,91","256,86","260,81","264,76","268,72","272,67","276,62","3,4837"
ES, Vitória,"19,58","21,54","23,51","25,47","27,42","28,40","29,38","30,37","31,35","32,32","33,30","34,28","35,26","36,24","37,23","38,21","39,18","40,16","41,14","42,12","42,42","42,71","43,00","43,29","43,59","43,88","44,18","44,48","44,76","45,05","49,50","51,10","52,70","54,29","55,89","57,49","59,09","60,68","62,28","63,88","65,48","67,07","68,67","70,27","71,87","73,45","75,05","76,65","78,25","79,84","81,44","83,04","84,64","86,23","87,83","89,43","91,03","92,62","94,22","95,82","97,42","99,00","100,60","102,20","103,80","105,39","106,99","108,59","110,19","111,78","1,4195"
, Interior 0,"19,58","21,54","23,51","25,47","27,42","28,40","29,38","30,37","31,35","32,32","33,30","34,28","35,26","36,24","37,23","38,21","39,18","40,16","41,14","42,12","42,42","42,71","43,00","43,29","43,59","43,88","44,18","44,48","44,76","45,05","49,50","51,10","52,70","54,29","55,89","57,49","59,09","60,68","62,28","63,88","65,48","67,07","68,67","70,27","71,87","73,45","75,05","76,65","78,25","79,84","81,44","83,04","84,64","86,23","87,83","89,43","91,03","92,62","94,22","95,82","97,42","99,00","100,60","102,20","103,80","105,39","106,99","108,59","110,19","111,78","1,4195"
, Interior 1,"22,70","24,99","27,25","29,52","31,79","32,92","34,07","35,21","36,32","37,47","38,61","39,75","40,87","42,01","43,15","44,29","45,41","46,55","47,69","48,83","49,16","49,51","49,84","50,18","50,53","50,87","51,19","51,55","51,88","52,23","55,33","57,11","58,90","60,68","62,47","64,25","66,04","67,82","69,60","71,39","73,17","74,96","76,74","78,52","80,31","82,09","83,89","85,67","87,46","89,24","91,02","92,81","94,59","96,38","98,16","99,94","101,73","103,51","105,30","107,08","108,87","110,65","112,43","114,22","116,00","117,80","119,58","121,37","123,15","124,93","1,7237"
, Interior 2,"22,70","24,99","27,25","29,52","31,79","32,92","34,07","35,21","36,32","37,47","38,61","39,75","40,87","42,01","43,15","44,29","45,41","46,55","47,69","48,83","49,16","49,51","49,84","50,18","50,53","50,87","51,19","51,55","51,88","52,23","55,33","57,11","58,90","60,68","62,47","64,25","66,04","67,82","69,60","71,39","73,17","74,96","76,74","78,52","80,31","82,09","83,89","85,67","87,46","89,24","91,02","92,81","94,59","96,38","98,16","99,94","101,73","103,51","105,30","107,08","108,87","110,65","112,43","114,22","116,00","117,80","119,58","121,37","123,15","124,93","1,7237"
, Interior 3,"52,25","57,47","62,71","67,92","73,15","75,76","78,37","80,99","83,60","86,22","88,83","91,43","94,05","96,66","99,26","101,89","104,50","107,10","109,72","112,33","113,12","113,90","114,68","115,48","116,25","117,04","117,81","118,61","119,38","120,16","121,63","125,55","129,47","133,39","137,32","141,24","145,16","149,08","153,01","156,93","160,85","164,78","168,71","172,63","176,55","180,47","184,39","188,32","192,24","196,16","200,08","204,01","207,93","211,86","215,78","219,71","223,63","227,55","231,47","235,40","239,32","243,24","247,16","251,09","255,01","258,94","262,86","266,79","270,71","274,63","3,4586"
